9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
102,C,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.18299999833106995,64.81800079345703,0.1770000010728836,112.2249984741211,88.50800323486328,10.144000053405762,NaN,NaN,110.677001953125,26.764999389648438,0.0020000000949949026,26.645000457763672
103,C,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,2.9730000495910645,78.74600219726562,3.865999937057495,104.33799743652344,0.0,6.118000030517578,NaN,NaN,8.508999824523926,12.987000465393066,0.0020000000949949026,13.555999755859375
104,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,M,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.03999999910593033,38.27799987792969,0.008999999612569809,45.40599822998047,0.0010000000474974513,4.35099983215332,NaN,NaN,6.1570000648498535,22.642000198364258,0.0010000000474974513,10.055000305175781
110,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,C,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,22.388999938964844,36.262001037597656,26.56800079345703,72.55999755859375,0.0020000000949949026,19.229999542236328,NaN,NaN,1.4119999408721924,34.00299835205078,0.003000000026077032,17.8799991607666
114,M,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020000000949949026,42.25299835205078,0.04899999871850014,75.09700012207031,NaN,NaN,1.2829999923706055,64.5780029296875,0.06800000369548798,25.80299949645996
115,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,C,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,21.444000244140625,50.99100112915039,54.20100021362305,93.27300262451172,6.449999809265137,2.8949999809265137,NaN,NaN,53.99700164794922,19.562000274658203,18.680999755859375,11.437999725341797
